Name,Salenum,Price,i+1,j,编号,编号（模板）,PRICE,SALENUM,SALE
['枸杞500g宁夏中宁枸杞子罐装特级贡果苟杞子100g买2送菊花养生帝'],[231755],[8.9],[81],食品,,,8.9,231755,2062619.5
['卫龙亲嘴烧辣条100片/盒辣片大小面筋怀旧零食大礼包多规格可选'],[344213],[4.5],[82],食品,,,4.5,344213,1548958.5
['零食大礼包组合整箱小吃送男女朋友儿童生日休闲膨化零食食品批发'],[13049],[19.9],[83],食品,,,19.9,13049,259675.1
['奶片500g*2袋牛奶贝内蒙古特产奶酪片糖奶片儿童干吃草原蒙古原味'],[8517],[19.8],[84],食品,,,19.8,8517,168636.6
['【大娱大肉】小鱼仔鱼蛋蛋鱼仙贝鱿鱼零食大礼包80-20袋每袋约8g'],[6831],[9.9],[85],食品,,,9.9,6831,67626.9
['【果辰】17新货 现炒果辰南瓜子 原味南瓜子 熟南瓜子 炒货1000g'],[17101],[19.9],[86],食品,,,19.9,17101,340309.9
['【津口娃】独立小包 兰花豆多口味兰花豆蚕豆休闲零食'],[246593],[7.9],[87],食品,,,7.9,246593,1948084.7
['【买1送1送杯可选】金丝皇菊黄菊花茶枸杞子一朵一杯约55朵20g去'],[107825],[6.4],[88],食品,,,6.4,107825,690080
['【8月新货】椰汁岛 发酵型乳酸菌饮品340ml*12瓶新品上市品质保障'],[171802],[19.9],[89],食品,,,19.9,171802,3418859.8
['【买2份送半斤 不好吃包退】权龙广式迷你小月饼水果味散装500g'],[45777],[6.9],[90],食品,,,6.9,45777,315861.3
['【一瓶即白】洗牙粉美白牙齿神器去牙渍口臭美白黄牙祛除牙垢50g'],[911],[29.9],[91],食品,,,29.9,911,27238.9
['3斤独立小包装青豆零食蒜香豌豆香辣原味炒货休闲食品办公室零食'],[4116],[18.9],[92],食品,,,18.9,4116,77792.4
['买2送10包小吃 铁板鱿鱼丝即食鱿鱼须小吃50包20包每小包约10克'],[227675],[13.9],[93],食品,,,13.9,227675,3164682.5
['一斤50根台湾风味米饼能量棒儿童营养早餐饼干500克零食批发整箱'],[129353],[9.9],[94],食品,,,9.9,129353,1280594.7
['【5月】伊利 安慕希 黄桃燕麦/草莓燕麦 酸牛奶 200g*10瓶/箱'],[13473],[45.9],[95],食品,,,45.9,13473,618410.7
['情人节礼物 德芙巧克力礼盒装 糖果生日礼物送女友女生闺蜜600克'],[9235],[76.0],[96],食品,,,76,9235,701860
['【500g大份量】茶叶绿茶2018新茶春茶信阳毛尖日照绿茶恩施富硒茶'],[15311],[19.8],[97],食品,,,19.8,15311,303157.8
['【限时特惠】娃哈哈AD钙奶220ml*20瓶 儿童酸奶饮品 7月新货'],[131954],[29.9],[98],食品,,,29.9,131954,3945424.6
['龙井茶【买一斤送半斤2018新茶】浙江龙井绿茶茶叶散装多规格可选'],[29545],[32.0],[99],食品,,,32,29545,945440
['【81包猪饲料零食大礼包】送男女朋友休闲组合小吃空投箱好吃的'],[51001],[28.9],[100],食品,,,28.9,51001,1473928.9
['肉类零食大礼包礼盒装42包1000g 艾尚你麻辣小吃组合混装16包285g'],[568619],[14.5],[101],食品,,,14.5,568619,8244975.5
['8月新货 伊利安慕希草莓燕麦酸奶/黄桃燕麦酸奶200g*10瓶'],[11957],[52.98],[102],食品,,,52.98,11957,633481.86
['【一盒见效】代餐饼干套餐粗粮纤维早餐饼干饱腹燃脂顽固型正品'],[6349],[52.0],[103],食品,,,52,6349,330148
['【5斤更实惠】猴头菇饼干 猴菇饼干 早餐饼干批发零食小饼干1-5斤'],[149583],[8.7],[104],食品,,,8.7,149583,1301372.1
['【7月新货】伊利 安慕希常温酸奶原味205g*12/提  品质保障'],[755064],[46.9],[105],食品,,,46.9,755064,35412501.6
['【亏本冲量】正宗宁夏中宁农家红枸杞新货免洗大粒苟杞子500g250g'],[77985],[11.2],[106],食品,,,11.2,77985,873432
"['【11.8发2斤,新店开业仅200份】天津大麻花酥麻花小麻花休闲零食']",[20068],[11.8],[107],食品,,,11.8,20068,236802.4
['【8月产】蒙牛特仑苏牛奶250ml*12盒  礼盒装'],[13477],[47.9],[108],食品,,,47.9,13477,645548.3
['【7天验证】人参鹿鞭片牡蛎玛咖可搭男性保健品男用男人的药90粒'],[15108],[39.8],[109],食品,,,39.8,15108,601298.4
['汤臣倍健维生素C+E30片*1瓶/30片*2瓶 vcve'],[3163],[10.8],[110],食品,,,10.8,3163,34160.4
['德芙巧克力礼盒精美巧克力礼盒装礼品礼包七夕情人节礼物75g-300g'],[68951],[19.9],[111],食品,,,19.9,68951,1372124.9
['红枣夹核桃500g*2袋 什锦枣夹核桃仁葡萄干白芝麻枸杞 夹心枣'],[181910],[11.26],[112],食品,,,11.26,181910,2048306.6
['湖南特产双娇辣条批发整箱大刀肉面筋零食小吃麻辣辣片100g多规格'],[452778],[3.9],[113],食品,,,3.9,452778,1765834.2
['【买一箱送一箱】冠达酸奶小白750g/500g送芝士乳酪500g面包糕点'],[447220],[23.9],[114],食品,,,23.9,447220,10688558
['绿茶信阳毛尖(两件送杯子)新茶2018年春茶100g/250g/500g'],[2445],[38.0],[115],食品,,,38,2445,92910
['齐辉大刀肉辣条阚清子大辣片麻辣素零食大礼包组合80后怀旧小吃'],[37978],[3.9],[116],食品,,,3.9,37978,148114.2
